tract2010,white,medhinc,count,mean,median
700200,0.488122255,58381,213,0.001608368,0.001551161
700100,0.159614816,56131,113,0.001503445,0.001440525
700301,0.616096377,51141,237,0.001578924,0.001569706
700302,0.623613477,62269,250,0.001585688,0.001547598
700401,0.230795205,73949,227,0.0014489,0.001341742
700402,0.210526317,82599,145,0.001502683,0.001407259
700501,0.056000002,81848,219,0.001499252,0.001373147
700502,0.088603422,76384,72,0.001582337,0.001525298
836400,0.033232629,23176,139,0.001354579,0.00135441
390200,0.080978259,60130,88,0.001456208,0.001463884
390300,0.028071454,23077,34,0.001209475,0.001213325
390100,0.040220819,39688,39,0.001524026,0.00131778
835900,0.016202996,26250,57,0.001514802,0.00145445
380200,0.013095238,19167,13,0.001416072,0.001335417
380100,0.033264033,26713,54,0.00128232,0.001207945
380700,0.023330651,36979,10,0.00177441,0.001909073
835800,0.026649747,53214,32,0.00175632,0.001566516
836000,0.027560864,57227,72,0.001541181,0.001578204
381200,0.010613752,34527,33,0.001357056,0.00136092
843600,0.023156395,22373,78,0.001492217,0.001486513
842600,0.647229612,57788,81,0.001583197,0.001459078
610800,0.860014379,76801,31,0.001507645,0.001411964
835500,0.031007752,13788,9,0.001199185,0.00088814
610300,0.391304344,32128,54,0.001169775,0.00110807
630100,0.333910048,41806,7,0.001404481,0.001091448
611500,0.366975039,31954,22,0.001891879,0.001777299
611300,0.390888631,29419,18,0.001770209,0.001646037
611400,0.392691851,30396,16,0.00169358,0.001575202
611600,0.094468616,45994,13,0.001452014,0.001242755
611700,0.113567837,25493,19,0.001237318,0.00100175
611800,0.086956523,26902,25,0.00129486,0.001096235
611200,0.325424939,32262,15,0.00159161,0.001748957
611100,0.310403824,27708,6,0.001657084,0.001492101
611000,0.088342443,17019,7,0.001556241,0.001113333
611900,0.074816629,25915,15,0.001096888,0.000901515
612000,0.018770227,34245,13,0.001501721,0.001212857
612100,0.026530612,30000,5,0.001878847,0.002249091
843800,0.291943133,35238,17,0.0017643,0.001445429
835600,0.011676397,18071,6,0.001039033,0.000834728
381400,0.006823821,55093,21,0.001616711,0.0013611
381800,0.027777778,23726,63,0.001336268,0.001412067
381900,0.047876447,33250,43,0.001335662,0.001268876
836100,0.026121521,29375,11,0.00196582,0.001921806
400300,0.005743459,41641,17,0.001801242,0.001564768
390400,0.05419223,21439,47,0.001445739,0.001475683
390500,0.229036301,44962,58,0.001127559,0.001136955
390600,0.465702027,57768,101,0.001329516,0.001402373
390700,0.264663815,47727,175,0.001376788,0.001275
836300,0.260869563,56076,60,0.00139062,0.001429034
410500,0.328118891,45647,124,0.001475546,0.001411223
